,predicted_price
0,449.24761519185154
1,567.4695171098193
2,294.99525816703044
3,845.6697977722795
4,567.1820260160132
5,994.6657227448129
6,464.15395377472294
7,307.0505791002398
8,805.1030644952056
9,349.6108957630222
10,594.3036524476676
11,552.7831050084834
12,367.861789321099
13,649.7531141339085
14,440.901539368783
15,383.9733721253816
16,456.94017578651096
17,527.3150576485226
18,298.364222065363
19,428.4928173468923
20,985.365198137617
21,563.7771310735228
22,315.03041487056345
23,326.14607128075465
24,366.96443545054467
25,481.9189065075193
26,403.073613351104
27,257.1020233413825
28,561.5664777726366
29,354.83221699907324
30,431.4033879180603
31,416.41523557063744
32,617.3866031999723
33,347.8066951338758
34,218.8236678469845
35,1174.8663581573192
36,378.8197990466323
37,473.1918355206373
38,280.199542920123
39,361.7344814646294
40,341.16266410287875
41,534.3479947133912
42,389.30155394142275
43,274.31983486679496
44,315.3571840874346
45,256.20105625821543
46,451.5171505246617
47,1028.3578979935064
48,300.4631715702943
49,214.51861081179737
50,574.9226761745575
51,429.44197961612826
52,300.91919757163566
53,266.35668103463377
54,328.4562183318633
55,965.5748176715535
56,403.47975506120935
57,415.4995022227271
58,521.8053786971748
59,389.1479563135713
60,599.1452183585538
61,356.05131915186524
62,1986.8213012959336
63,777.0662550660248
64,374.89517579479525
65,530.0975849777237
66,419.7033086543532
67,261.75830796471473
68,303.2779248365138
69,764.6191598616689
70,170.7539865307109
71,248.7715445985166
72,541.3500544894878
73,368.2947498197197
74,679.060884491895
75,518.3887944641547
76,262.4036214264371
77,540.8750595812855
78,609.3850606689988
79,743.1188399908665
80,1107.789168321881
81,429.0433703336703
82,391.54434196404327
83,247.38772721783275
84,361.1371128855918
85,446.43974293027435
86,472.31906464680793
87,296.18357906583583
88,638.0179350779804
89,687.7207701946844
90,366.1230543850236
91,382.5842334718262
92,414.45663484978434
93,259.5504293537724
94,808.7076442733927
95,544.1378078324237
96,508.2063806070942
97,644.66233615414
98,639.1085037372803
99,447.01257989644523
100,401.78660529099494
101,317.34728534557956
102,495.51025365300103
103,382.09043612068393
104,304.8768819781805
105,457.1550886032598
106,404.7640808484296
107,599.7739181829213
108,481.1817318299581
109,327.4762551136691
110,575.9589485151853
111,418.5056483195187
112,588.0596964213338
113,261.50352415209113
114,225.77708349686668
115,371.7396328294368
116,437.73266636214106
117,692.302700261086
118,299.0148274951156
119,545.6862374823331
120,401.7069566881773
121,1286.9066271319598
122,445.81778140873587
123,486.0171863233229
124,397.7786501800025
125,519.6397931693226
126,713.4171957744518
127,529.062862459852
128,726.1932528379748
129,543.261900822964
130,1964.3257629326201
131,280.77205113600166
132,1442.6432677175671
133,493.78006334340466
134,377.56830786956664
135,233.36544723731149
136,552.1197354365189
137,280.14337943138287
138,623.354041338368
139,474.43099398026465
140,946.7515947235108
141,528.3618407873129
142,376.2891854899457
143,357.1236608539674
144,1423.1569310374734
145,246.78590175572091
146,301.34215564938233
147,567.138763156688
148,746.4593404393831
149,396.7833698674033
150,502.14139034571576
151,459.81026629130645
152,206.06308156068565
153,584.933850236709
154,1015.5071226586334
155,515.4043595911409
156,562.0979655500768
157,989.8434014228495
158,344.85135830231786
159,610.2611687772097
160,296.4069122611378
161,320.551260047528
162,278.9682657049941
163,532.2744043643949
164,318.5536140367448
165,250.54953626689797
166,341.6505905468024
167,288.5219340707242
168,476.3780623054717
169,335.5734463734273
170,364.67863662459513
171,404.97007995214847
172,194.21210412236957
173,614.9267966617988
174,355.7922387040355
175,247.1658664432159
176,515.5519209844712
177,529.2679324230234
178,404.05523475588626
179,253.13708387881178
180,478.60179034797955
181,409.79869062353544
182,319.1786026177392
183,675.4126700366102
184,1124.5091931636894
185,433.0777224849606
186,422.7087044171137
187,445.80308768745545
188,344.7046782803202
189,595.742739434369
190,211.49610358107373
191,308.38642379194846
192,341.49867640070045
193,697.6524313949644
194,1107.3628886408103
195,614.421309508765
196,451.0304346470324
197,290.93883383293246
198,300.13510383924796
199,413.3857314736647
200,277.5635200860073
201,242.6606704537806
202,478.3960881232879
203,502.6588591946808
204,275.705079689043
205,517.813260395839
206,407.1229183829268
207,354.4635114281534
208,706.8973394569689
209,430.0870607738831
210,248.86375618618194
211,396.4475892805981
212,613.6227698460707
213,411.62338478037896
214,342.0560641205886
215,232.35199581366564
216,873.024943549434
217,312.3512865809307
218,495.7552481913393
219,554.4597695568077
220,334.83213940120436
221,434.9467620498004
222,480.9459618736551
223,285.84140880769246
224,374.5157194632618
225,498.65961293813433
226,327.6094686320736
227,362.2375658021514
228,253.03706127497392
229,759.0408946388561
230,514.9789123130244
231,722.2245132188073
232,1020.0710897487086
233,1339.2571273612327
234,394.8869538551296
235,334.9433347503459
236,293.0630375458455
237,575.9857716269582
238,471.0863307798894
239,231.74772550771905
240,1556.435613328845
241,605.9450192664659
242,375.38848299309825
243,470.9916884401454
244,657.7526563928584
245,504.3352703850938
246,328.49940981173984
247,510.3526239826236
248,469.2138627087984
249,472.380918772309
250,405.1355461365491
251,729.895600764165
252,753.5455621333657
253,423.731539981509
254,293.32131296404054
255,579.8402703926745
256,473.1711042475275
257,437.7428140824764
258,359.2732799550029
259,979.0872284386332
260,478.2672265414013
261,236.38161241067684
262,400.4589910560539
263,431.6100405799293
264,448.5988787801873
265,412.79234649735866
266,632.2597350038445
267,448.9098206547671
268,240.04021540527287
269,382.3828073209903
270,266.2817530042307
271,1005.2381301551709
272,294.3060445048224
273,204.68170918477625
274,621.0510021473801
275,703.0876406514308
276,534.6436165249944
277,292.2927323434317
278,761.2366848533534
279,286.64300452319196
280,368.30650763919346
281,471.9579194637499
282,493.19911603269526
283,538.670736078892
284,386.31675272176716
285,523.0706403220717
286,423.2448556177635
287,241.76798204482745
288,654.3410476895887
289,437.08302401615293
290,376.0470354079231
291,566.265818953862
292,366.72684214255685
293,385.30534444542786
294,612.1366645260948
295,210.24510910552283
296,465.7849608793138
297,295.12839402926613
298,826.1737660338747
299,518.1296542460352
300,434.46405743924925
301,218.88412021558435
302,286.90720215962244
303,394.6495423458825
304,594.3533529628318
305,240.71168833105565
306,727.0949788125785
307,402.35348429025674
308,1183.4091418041903
309,267.7496406637513
310,366.4213000481626
311,594.9005354021169
312,304.6127202971009
313,553.0679412121885
314,723.6116113916378
315,353.9064196207862
316,503.00666730978867
317,346.1795551309542
318,564.139625086844
319,594.6224526517182
320,450.81740955355366
321,164.24490636367182
322,412.5230732362049
323,282.7069159563505
324,403.1980919098559
325,890.8851764870956
326,695.5806610313535
327,434.69710057867
328,406.45181926812774
329,577.3932859369413
330,907.7313363833917
331,346.02133773687433
332,562.2843014298821
333,279.8480714716617
334,364.61725301351424
335,210.79177523113384
336,236.76677954847176
337,538.6494001441171
338,234.40428917809254
339,325.9420364925842
340,474.668771118804
341,439.9074531768371
342,676.9461706377119
343,520.734484968764
344,357.80436211542917
345,527.2895355780677
346,991.9994667021065
347,484.5890563950688
348,571.6039919003779
349,309.88411141182354
350,308.5288939989882
351,667.1726714080351
352,452.8339569470552
353,289.72744711194696
354,314.87049015873527
355,252.7841154076901
356,553.2750169665974
357,241.05904849166166
358,438.6943760320097
359,427.0808524040013
360,309.3905204789503
361,335.6005533998367
362,531.5370406820829
363,287.36844873725227
364,348.5602485661676
365,513.3894582760191
366,322.563856027562
367,516.3110568237392
368,375.11169435753243
369,554.9482969053462
370,817.3321633327846
371,305.61544894534
372,308.9408585033725
373,1638.3216860549514
374,463.95853599470985
375,573.9614943335871
376,564.1550641466947
377,1095.4693995152043
378,616.1424337190583
379,950.9119309608553
380,369.3690189285454
381,319.82451733455855
382,392.0500184027833
383,766.4645825224231
384,598.3873772066321
385,314.5049786227915
386,432.5524949835551
387,401.22003516050466
388,508.9732022772948
389,231.87664579792983
390,265.93459434489944
391,270.66480452021847
392,268.423996987926
393,248.82502866812726
394,241.35844228749184
395,293.4699877418851
396,240.64627070467412
397,321.58395384434755
398,353.38076162683075
399,476.92717694033615
400,1331.1460234788374
401,648.7286846308134
402,249.32323407259665
403,400.95725442662854
404,436.67315725289285
405,563.3513388315733
406,353.04121575031246
407,304.8544976442687
408,543.8118600416975
409,310.999592775348
410,247.09810825242843
411,338.690895914605
412,407.8065961343812
413,344.73272005399815
414,259.0291276824497
415,564.3812455819963
416,292.08908439796096
417,492.87437865643085
418,738.9943233794298
419,736.5180163581009
420,311.0600688932143
421,358.76390876529075
422,629.7728225745078
423,319.47212626919423
424,248.29403873349824
425,944.2336021974398
426,400.1826733769706
427,710.6604955026032
428,332.71492367862595
429,442.48014357466036
430,375.3999714453752
431,427.5585315475611
432,295.39184441337125
433,299.9483351635482
434,613.4183116313486
435,180.9942179601885
436,685.0107503291986
437,235.91350270839143
438,303.3866382393153
439,378.3278016976943
440,544.4458615237644
441,406.74348678502315
442,417.99407977794385
443,380.8425053170288
